region,country,weather_station,station_code,data_format,url
2,CHN,Beijing.Miyun,544160,CSWD,2_asia_wmo_region_2/CHN_Beijing.Miyun.544160_CSWD.zip
2,CHN,Chongqing.Chongqing.Shapingba,575160,CSWD,2_asia_wmo_region_2/CHN_Chongqing.Chongqing.Shapingba.575160_CSWD.zip
2,CHN,Chongqing.Chongqing.Shapingba,575160,SWERA,2_asia_wmo_region_2/CHN_Chongqing.Chongqing.Shapingba.575160_SWERA.zip
2,CHN,Chongqing.Youyang,576330,CSWD,2_asia_wmo_region_2/CHN_Chongqing.Youyang.576330_CSWD.zip
2,CHN,Fujian.Congwu,591330,CSWD,2_asia_wmo_region_2/CHN_Fujian.Congwu.591330_CSWD.zip
2,CHN,Fujian.Fuzhou,588470,CSWD,2_asia_wmo_region_2/CHN_Fujian.Fuzhou.588470_CSWD.zip
2,CHN,Fujian.Jianou,587370,CSWD,2_asia_wmo_region_2/CHN_Fujian.Jianou.587370_CSWD.zip
2,CHN,Fujian.Nanping,588340,CSWD,2_asia_wmo_region_2/CHN_Fujian.Nanping.588340_CSWD.zip
2,CHN,Fujian.Shanghang,589180,CSWD,2_asia_wmo_region_2/CHN_Fujian.Shanghang.589180_CSWD.zip
2,CHN,Fujian.Xiamen,591340,CSWD,2_asia_wmo_region_2/CHN_Fujian.Xiamen.591340_CSWD.zip
2,CHN,Fujian.Yongan,589210,CSWD,2_asia_wmo_region_2/CHN_Fujian.Yongan.589210_CSWD.zip
2,CHN,Gansu.Dunhuang,524180,CSWD,2_asia_wmo_region_2/CHN_Gansu.Dunhuang.524180_CSWD.zip
2,CHN,Gansu.Hezuo,560800,CSWD,2_asia_wmo_region_2/CHN_Gansu.Hezuo.560800_CSWD.zip
2,CHN,Gansu.Jiuquan,525330,CSWD,2_asia_wmo_region_2/CHN_Gansu.Jiuquan.525330_CSWD.zip
2,CHN,Gansu.Lanzhou,528890,CSWD,2_asia_wmo_region_2/CHN_Gansu.Lanzhou.528890_CSWD.zip
2,CHN,Gansu.Lanzhou,528890,IWEC,2_asia_wmo_region_2/CHN_Gansu.Lanzhou.528890_IWEC.zip
2,CHN,Gansu.Lanzhou,528890,SWERA,2_asia_wmo_region_2/CHN_Gansu.Lanzhou.528890_SWERA.zip
2,CHN,Gansu.Minqin,526810,CSWD,2_asia_wmo_region_2/CHN_Gansu.Minqin.526810_CSWD.zip
2,CHN,Gansu.Minqin,526810,SWERA,2_asia_wmo_region_2/CHN_Gansu.Minqin.526810_SWERA.zip
